28|126,75|12,675|114,075
34|42,25|4,225|38,025
37|84,5|8,45|76,05
38|126,75|12,675|114,075
44|126,75|12,675|114,075
53|126,75|12,675|114,075
67|37,5|3,75|33,75
68|37,5|3,75|33,75
69|7,5|0,75|6,75
105|704,925|70,4925|634,4325
212|719,94|71,994|647,946
231|7,5|0,75|6,75
232|5|0,5|4,5
240|7,5|0,75|6,75
264|7,5|0,75|6,75
332|7,5|0,75|6,75
356|7,5|0,75|6,75
357|7,5|0,75|6,75
359|7,5|0,75|6,75
362|7,5|0,75|6,75
363|7,5|0,75|6,75
364|7,5|0,75|6,75
365|7,5|0,75|6,75
367|7,5|0,75|6,75
368|7,5|0,75|6,75
369|7,5|0,75|6,75
370|7,5|0,75|6,75
372|7,5|0,75|6,75
373|7,5|0,75|6,75
374|7,5|0,75|6,75
375|7,5|0,75|6,75
377|7,5|0,75|6,75
381|7,5|0,75|6,75
383|7,5|0,75|6,75
390|7,5|0,75|6,75
435|7,5|0,75|6,75
439|2700|270|2430
441|2700|270|2430
443|7,5|0,75|6,75
448|7,5|0,75|6,75
450|7,5|0,75|6,75
451|7,5|0,75|6,75
462|7,5|0,75|6,75
468|7,5|0,75|6,75
470|7,5|0,75|6,75
474|7,5|0,75|6,75
475|7,5|0,75|6,75
476|7,5|0,75|6,75
477|7,5|0,75|6,75
478|7,5|0,75|6,75
479|7,5|0,75|6,75
480|7,5|0,75|6,75
483|7,5|0,75|6,75
484|7,5|0,75|6,75
486|7,5|0,75|6,75
487|7,5|0,75|6,75
488|7,5|0,75|6,75
489|7,5|0,75|6,75
490|7,5|0,75|6,75
491|7,5|0,75|6,75
492|7,5|0,75|6,75
494|2,5|0,25|2,25
498|7,5|0,75|6,75
499|7,5|0,75|6,75
500|7,5|0,75|6,75
502|7,5|0,75|6,75
504|7,5|0,75|6,75
509|7,5|0,75|6,75
510|7,5|0,75|6,75
512|7,5|0,75|6,75
513|7,5|0,75|6,75
514|7,5|0,75|6,75
515|7,5|0,75|6,75
516|7,5|0,75|6,75
517|7,5|0,75|6,75
518|7,5|0,75|6,75
521|7,5|0,75|6,75
522|334,95|33,495|301,455
611|126,75|12,675|114,075
671|126,75|12,675|114,075
691|147,5|14,75|132,75
708|335,8425|33,58425|302,25825
732|502,425|50,2425|452,1825
772|84,5|8,45|76,05
817|126,75|12,675|114,075
901|150|15|135
918|310|31|279
929|214,95|21,495|193,455
932|84,5|8,45|76,05
933|126,75|12,675|114,075
936|126,75|12,675|114,075
940|126,75|12,675|114,075
954|141,75|14,175|127,575
1073|84,5|8,45|76,05
1088|193,335|19,3335|174,0015
1142|224,25|22,425|201,825
1166|2509,3125|250,93125|2258,38125
1184|103,5|10,35|93,15
1185|103,5|10,35|93,15
1187|103,5|10,35|93,15
1188|103,5|10,35|93,15
1191|103,5|10,35|93,15
1203|103,5|10,35|93,15
1204|103,5|10,35|93,15
1205|103,5|10,35|93,15
1209|103,5|10,35|93,15
1212|103,5|10,35|93,15
1213|103,5|10,35|93,15
1214|103,5|10,35|93,15
1215|103,5|10,35|93,15
1217|103,5|10,35|93,15
1219|103,5|10,35|93,15
1220|103,5|10,35|93,15
1231|225|22,5|202,5
1234|1650|165|1485
1279|465|46,5|418,5
1280|310|31|279
1302|214,95|21,495|193,455
1309|3355,74|335,574|3020,166
1313|300|30|270
1335|100|10|90
1359|187,4975|18,74975|168,74775
1360|1891,545|189,1545|1702,3905
1368|72|7,2|64,8
1394|266,4675|26,64675|239,82075
1395|177,645|17,7645|159,8805
1417|368,6175|36,86175|331,75575
1418|186,13|18,613|167,517
