1589|1903,53
1662|1026142,21
1590|77725234,94
1698|47190,69
1985|2213652,43
1591|116437,64
1608|21140,33
3008|800027,63
2239|13978195,4
1991|1017525,5
3079|651293,19
2775|7473,56
3021|554227,55
1546|107043,93
1635|3391,22
2100|11408911,76
1943|51459,21
1696|5505,6
1944|103969,35
1771|457978,51
1699|230489,25
1697|948,84
1597|114205,73
1535|43782,81
1609|216669,24
1596|264413,88
1986|302255,17
1610|178647,21
1983|100358,67
5070|85254,81
1984|136252,44
4635|553068,92
1611|40021,57
3011|722116,44
4593|260864,58
2610|1168409,9
1711|140117,26
1973|307943,46
4805|830045,47
1712|17514,66
2242|236846,46
4765|230310,57
2098|78382,77
2243|426411,88
2786|87855,36
4806|662629,24
2015|113078,1
2191|72607,67
1576|39794,04
2291|87565,62
2099|31207,42
2190|188924,85
2501|1077624,97
2197|149806,64
1577|101473,7
2449|9852
2195|288525,06
4512|7557,37
2042|12433,1
2109|17962,02
2011|17962,02
2067|9709,2
2101|2912,76
2066|12136,5
2088|6582,23
2095|52170,26
2096|32667,36
2290|4875,72
3632|248090,76
2398|14627,17
3633|234610,27
4513|57387,055816063
2428|34130,07
2399|66797,43
2327|4875,72
2429|13754,7
2503|8044,95
2504|31554,9
