1979-03-19|2012-03-14|2010-04-13|10003|9|CADEIRA FIXA ESTOFADA EM CURVIM MARCA FERGO MOD.5391||MATERIAL LEILOADO - LEILAO PUBLICO 01/16|1290|921|1130|53178||1259.44|53.9|54,4500
1979-03-19|1999-11-22|2010-04-13|10003|9|CESTO DE PAPEIS DE MADEIRA MARCA FERGO MODELO 604||MATERIAL LEILOADO - LEILAO PUBLICO 01/14|1255|920|1122|0||678|29.01|29,3100
1980-08-30|2002-10-21|2010-04-13|10003|9|CALCULADORA MARCA UNDERWOOD MODELO 430 PD 115 VOLTS SERIAL 4421||INSERVIVEL|1140|920|1332|20384|DOADO ASSOCIACAO FBG CONF.OFICIO 001/GP/AE/2004|26449|468.87|473,6100
1980-06-11|2011-11-30|2010-04-13|10003|9|CADEIRA GIRATORIA BASE F 2A L5 MODELO 5302 ESTRUTURA PRETA||MATERIAL LEILOADO - LEILAO PUBLICO 01/16|1140|921|1292|61223||3363.36|63.64|64,2900
1980-06-11|2007-11-28|2010-04-13|10003|9|CADEIRA GIRATORIA COM BASE SOBRE RODAS ESTOFADAS MARCA FERGO MODELO 5302||MATERIAL INSERVIVEL|1255|921|1295|0|BEM PATRIMONIAL DESTRUIDO, CONFORME AUTORIZACAO DO DEX. PROCESSO Nº 1573/2007.|3363.36|63.64|64,2900
1980-06-11|2012-09-05|2010-04-13|10003|9|CESTO PARA PAPEIS EM MADEIRA MARCA FERGO||MATERIAL LEILOADO - LEILAO PUBLICO 01/14|1291|920|1285|61223||1249|23.63|23,8700
1980-06-11|2012-09-05|2010-04-13|10003|9|CESTO PARA PAPEIS EM MADEIRA MARCA FERGO MODELO 604||MATERIAL LEILOADO - LEILAO PUBLICO 01/14|1291|920|1284|61223||1249.04|23.63|23,8700
1980-06-11|2012-09-05|2010-04-13|10003|9|MESA PARA TELEFONE SOBRE RODAS MARCA FERGO MODELO 5215||MATERIAL LEILOADO - LEILAO PUBLICO 01/14|1140|921|1290|0||2763.28|52.29|52,8200
1980-03-11|2001-05-25|2010-04-13|10003|9|CADEIRA FERGO UNIVERSITARIA COM PRANCHETA||INSERVIVEL|1260|921|1211|0||2266.16|47.93|48,4200
1980-03-21|2002-12-11|2010-04-13|10003|9|CADEIRA GIRATORIA C/BASE SOBRE RODAS ESTOFADA EM CURVIM MARCA FERGO MO  D. 75850.||INSERVIVEL|1260|921|1223|0||5913.44|125.08|126,3500
1981-04-30|2010-10-05|2010-04-13|10003|9|MESA PARA MAQUINA DE DATILOGRAFIA EM MADEIRA MARCA FERGO MODELO 5215 SERIE 40460||MATERIAL LEILOADO - PROCESSO 1600/2011|1260|921|1382|0||6008|73.11|73,8500
1981-04-30|2006-12-19|2010-04-13|10003|9|CADEIRA FIXA EM CURVIM MARCA FERGO MODELO 5391||MATERIAL INSERVIVEL|1260|921|1402|0|BEM PATRIMONIAL DESTRUIDO, CONFORME AUTORIZACAO DO DEX. PROCESSO Nº 1573/2007.|5273|64.16|64,8100
1981-04-30|2006-12-01|2010-04-13|10003|9|CADEIRA FIXA ESTOFADA EM CURVIM CINZA MARCA FERGO MOD 5391||MATERIAL INSERVIVEL|1140|921|1413|0|BEM PATRIMONIAL DESTRUIDO, CONFORME AUTORIZACAO DO DEX. PROCESSO Nº 1573/2007.|5273|64.16|64,8100
1973-09-01|2012-09-05|2010-04-13|10003|9|MESA DE CENTRO EM MADEIRA MARCA FERGO MODELO 6118||MATERIAL LEILOADO - LEILAO PUBLICO 01/14|1255|921|818|0||172.85|27.77|28,0600
1973-09-17|2010-05-18|2010-04-13|10003|9|ARMARIO EM MADEIRA COM PRATELEIRAS E 2 PORTAS DE CORRER MARCA FERGO      MOD.6230||MATERIAL INSERVIVEL|1256|921|769|0||995.67|160.01|161,6300
1973-09-17|2006-05-09|2010-04-13|10003|9|BANDEJA DE EXPEDIENTE EM MADEIRA MARCA FERGO MODELO 600||MATERIAL INSERVIVEL|1140|920|812|0|BEM PATRIMONIAL DESTRUIDO, CONFORME AUTORIZACAO DO DEX. PROCESSO Nº 1573/2007.|46.61|7.48|7,5600
1973-09-17|2012-11-07|2010-04-13|10003|9|CADEIRA FIXA ESTOFADA MARCA FERGO||MATERIAL LEILOADO - LEILAO PUBLICO 01/16|1256|921|808|13444||308.43|49.55|50,0600
1973-09-17|2005-07-07|2010-04-13|10003|9|ESTANTE EM MADEIRA FERGO 6230 406/101||INSERVIBILIDADE|1258|921|771|0|BEM PATRIMONIAL DESTRUIDO, CONFORME AUTORIZACAO DO DEX. PROCESSO Nº 1573/2007.|995.67|160.01|161,6300
1973-09-17|2016-10-04|2010-04-13|10003|9|MESA DE ESCRITORIO C/3 GAVETAS CONJUGADA PARA MAQ. DE ESCREVER EM MADEIRA MARCA FERGO MOD 5201||MATERIAL LEILOADO - LEILAO PUBLICO 01/16|1258|921|806|0||1227.51|197.27|199,2700
1973-09-17|2016-10-04|2010-04-13|10003|9|MESA DE ESCRITORIO COM 6 GAVETAS MARCA FERGO MODELO 6046 406 10/C SERIAL 04875||MATERIAL LEILOADO - LEILAO PUBLICO 01/16|1258|921|774|0||1381.73|222.05|224,3000
1973-07-13|1999-11-22|2010-04-13|10003|9|CADEIRA GIRATORIA PT-9 MARCA FERGO||MATERIAL INSERVIVEL|1140|921|700|0|BELA VISTA|404.68|65.34|66,0100
1973-09-17|2000-10-06|2010-04-13|10003|9|CADEIRA GIRATORIA COM BASE SOBRE RODAS ESTOFADA EM CURVIM MARCA FERGO MODELO 5302 GR 1-A||MATERIAL INSERVIVEL|1257|921|807|4005||308.43|49.55|50,0600
1973-09-17|2003-12-29|2010-04-13|10003|9|MESA DE ESCRITORIO COM 6 GAVETAS MARCA FERGO MODELO 6045406101C SERIAL 04403||MATERIAL INSERVIVEL|1257|921|759|0|PATIO VOLDAC - SUCATA|1255.46|201.76|203,8000
1974-06-20|2012-09-05|2010-04-13|10003|9|MESA PARA TELEFONE SOBRE RODAS MARCA FERGO||MATERIAL LEILOADO - LEILAO PUBLICO 01/14|1255|921|886|18643||340.52|49.42|49,9200
1974-12-31|2002-10-21|1997-10-09|10003|9|CADEIRA FIXA MARCA FERGO MODELO 5391||INSERVIVEL|1257|921|857|0|SAL VOLDAC|260.82|0.01|0,0000
1974-06-10|2000-05-15|2010-04-13|10003|9|FICHARIO MENNO MODELO 6X9||MATERIAL INSERVIVEL|1256|922|876|341||220|31.92|32,2500
1975-09-22|2009-12-31|2010-04-13|10003|9|MESA DE ESCRITORIO COM 3 GAVETAS MARCA FERGO MODELO 6033 SERIE 114078||MATERIAL LEILOADO - PROCESSO 1600/2011|1258|921|935|27783||1395.79|161.04|162,6700
1975-09-22|2012-11-07|2010-04-13|10003|9|CADEIRA FIXA ESTOFADA MARCA FERGO MOD.5391||MATERIAL LEILOADO - LEILAO 02/16|1290|921|930|0|PROCESSO LEILAO - 908/2016 - PORTARIA 265/2016|342.14|39.47|39,8700
1976-04-14|2001-02-23|2010-04-13|10003|9|LTR-29 JAN/FEV/65||OBSOLETO|1257|921|140|0|DOADO ASSOCIACAO AMIGOS FBG CONF.OFICIO 001/GP/AE/2004|400|38.2|43,4700
1976-09-13|2007-03-12|2010-04-13|10003|9|CONDICIONADOR DE AR MARCA PHILCO 220 VOLTS SERIAL 2000946||MATERIAL INSERVIVEL|1140|919|976|0||3609|314.23|317,4100
1976-05-19|2002-12-11|2010-04-13|10003|9|MAQUINA DE ESCREVER ELETRICA OLIVETTI MODELO TEKNE 4||INSERVIVEL|1257|920|955|3781|DOADO ASSOCIACAO AMIGOS FBG CONF.OFICIO 001/GP/AE/2004|9000|844.54|853,0800
1977-03-16|1999-11-22|2010-04-13|10003|9|ESTANTE EM MADEIRA MARCA FERGO MODELO 6230 SERIE 20303||MATERIAL INSERVIVEL|1259|921|986|0||2722.68|206.54|208,6300
1977-03-16|2012-08-16|2010-04-13|10003|9|ARMARIO DE MADEIRA MARCA FERGO MOD.6200 FERRO SERIAL 14O412||MATERIAL LEILOADO - LEILAO PUBLICO 02/16|1258|921|984|0|PROCESSO LEILAO - 908/2016 - PORTARIA 265/2016|2722.5|206.53|208,6200
1977-07-19|2007-10-05|2010-04-13|10003|9|MESA DE ESCRITORIO COM 3 GAVETAS MARCA FERGO MODELO 5233||MATERIAL INSERVIVEL|1140|921|1014|0||2503.28|170.2|171,9200
1977-08-01|2012-09-05|2010-04-13|10003|9|MAPOTECA HORIZONTAL DE ACO COM 10 GAVETAS, MODELO C-2.  MARCA LAZ.||MATERIAL LEILOADO..EILAO PUBLICO 01/2019|1290|921|1021|0|BAIXADO CONFORME PROCESSO 814/2012|9013|602.48|608,5700
1977-03-16|2000-12-26|2010-04-13|10003|9|CESTO PARA PAPEIS EM MADEIRA MARCA FERGO MODELO 604|||1257|920|989|0|INSERVIVEL|264.6|20.06|20,2700
1978-04-07|2016-12-30|2010-04-13|10003|9|CADEIRA FIXA ESTOFADA EM CURVIM MARCA FERGO MODELO 5391||MATERIAL LEILOADO - LEILAO PUBLICO 02/16|1259|921|1076|0||697.32|39.97|40,3800
1978-04-07|2014-07-28|2010-04-13|10003|9|CADEIRA FIXA MODELO 5391 MARCA FERGO||MATERIAL LEILOADO - LEILAO PUBLICO 01/14|1291|921|1072|0||697.32|39.97|40,3800
1978-04-07|2016-10-04|2010-04-13|10003|9|CADEIRA GIRATORIA COM BASE SOBRE RODAS ESTOFADA EM CURVIM MARCA FERGO MODELO 5392||MATERIAL LEILOADO - LEILAO PUBLICO 01/16|1258|921|1080|46900||1415.23|81.15|81,9700
1978-04-07|2007-06-06|2010-04-13|10003|9|MESA COM PAINEL COM 3 GAVETAS MODELO 5236||MATERIAL LEILOADO - LEILAO PUBLICO 01/16|1256|921|1040|46900||2751.84|157.78|159,3800
1978-04-07|2012-11-07|2010-04-13|10003|9|POLTRONA GIRATOTIA MOD 5392 COR PRETA||MATERIAL INSERVIVEL|1256|921|1081|0||1415.23|81.15|81,9700
1978-04-09|2014-07-28|2010-04-13|10003|9|MESA DE ESCRITORIO COM 3 GAVETAS MARCA FERGO MODELO 5236||MATERIAL LEILOADO - LEILAO PUBLICO 01/14|1256|921|1042|0||2751.84|157.78|159,3800
1978-02-28|2001-10-25|2010-04-13|10003|9|APARELHO TELEFONICO AUTOMATICO PARA LIGACOES INTERNAS E EXTERNAS (CENTRO TELEFONICO AUTOMATICO)||DOACAO A PMVR|1140|894|1030|0|CEDIDO POR COMODATO A SMO (PMVR) CONF PROC 0831/87|217559.3|13057.5|13189,4000
1978-04-07|2001-03-29|2010-04-13|10003|9|CADEIRA GIRATORIA COM BASE SOBRE RODAS ESTOFADA EM CURVIM MARCA FERGO N 5392||INSERVIVEL|1257|921|1082|0|BEM PATRIMONIAL DESTRUIDO, CONFORME AUTORIZACAO DO DEX. PROCESSO Nº 1573/2007|1415.23|81.15|81,9700
1978-04-07|2001-05-21|2010-04-13|10003|9|MESA PARA MAQUINA DE DATILOGRAFIA MARCA FERGO MODELO 6111||INSERVIVEL|1257|921|1051|0|PATRIMONIO|1158.77|66.43|67,1100
1978-04-07|2001-05-21|2010-04-13|10003|9|MESA PARA TELEFONE MODELO 6115||INSERVIVEL|1257|921|1053|0|PATRIMONIO|780.62|44.75|45,2100
1984-08-09|2014-07-28|2010-04-13|10003|9|MESA DE MADEIRA MARCA LONGO MODELO 3002||MATERIAL LEILOADO - LEILAO PUBLICO 01/14|1255|921|1696|18084||99000|46.51|46,9800
1984-09-06|2012-08-16|2010-04-13|10003|9|BALANCA HIDROSTATICA COMPLETA PARA 150 MCA||MATERIAL LEILOADO - LEILAO PUBLICO 01/14|1258|893|1707|0||2267474|963.84|973,5800
1984-09-06|2012-09-05|2010-04-13|10003|9|GALDADOR COLE COM HASTE UTIL DE 0,50M||BAIXADO CONFORME PROCESSO 814/2012|1258|1342|1705|0||504645|214.5|216,6700
1984-09-06|2012-09-05|2010-04-13|10003|9|GALDADOR COLE COM HASTE UTIL DE 1.00||BAIXADO CONFORME PROCESSO 814/2012|1258|1342|1704|0||504645|214.5|216,6700
1984-09-06|2009-09-30|2010-04-13|10003|9|TUBO PITOT COLE COM HASTE DE 0,50MM||MATERIAL INSERVIVEL|1258|913|1700|0||554370|235.63|238,0200
1984-09-06|2009-09-30|2010-04-13|10003|9|TUBO PITOT COLE COM HASTE UTIL DE 0,50M||MATERIAL LEILOADO - PROCESSO 1600/2011|1258|913|1701|0||554370|235.63|238,0200
1984-09-06|2009-09-30|2010-04-13|10003|9|TUBO PITOT COLE COM HASTE UTIL DE 1,00M||MATERIAL LEILOADO - PROCESSO 1600/2011|1258|913|1702|0||554370|235.63|238,0200
1984-10-26|2005-11-30|2010-04-13|10003|9|MEDIDOR DE FATOR DE POTENCIA||AUTORIZACAO DEX PROC.163/2004|1140|893|1727|0|BEM PATRIMONIAL DESTRUIDO, CONFORME AUTORIZACAO DO DEX. PROCESSO Nº 1573/2007.|3605000|1361.15|1374,9000
1984-11-01|2009-09-30|2010-04-13|10003|9|REGISTRADOR DE PRESSAO MARCA BRISTOL MOD 16500 14 Z 120 ESCALA||MATERIAL LEILOADO - PROCESSO 1600/2011|1258|915|1720|0||6954341|2389.72|2413,8600
1984-11-01|2009-09-30|2010-04-13|10003|9|REGISTRADOR DE PRESSAO MARCA BRISTOL MOD 16500-14-Z ESCALAO/100 MCA||MATERIAL LEILOADO - PROCESSO 1600/2011|1258|915|1719|0||6954341|2389.72|2413,8600
1984-11-01|2009-09-30|2010-04-13|10003|9|REGISTRADOR DE PRESSAO MARCA BRISTOL MOD 16500-14Z120 ESCALA DE 0,50 MCA||MATERIAL LEILOADO - PROCESSO 1600/2011|1258|915|1721|0||6954341|2389.72|2413,8600
1986-02-17|2004-05-03|2010-04-13|10003|9|ENCERADEIRA LAVADORA MARCA MAXPOL MODELO PUMA 300MM EQUIPADA 110 VOLTS 60 HZ||SOLICITACAO DE BAIXA POR INSERVIBILIDADE|1259|919|1882|0|BEM PATRIMONIAL DESTRUIDO, CONFORME AUTORIZACAO DO DEX. PROCESSO Nº 1573/2007.|4068|0.28|0,2900
1987-06-19|2012-11-07|2010-04-13|10003|9|DICIONARIO PRATICO DA LINGUA PORTUGUESA VOLUME 1 JANIO QUADROS||MATERIAL OBSOLETO|1255|921|154|0||3705|84.56|85,4200
1987-06-30|2009-09-30|2010-04-13|10003|9|SINALIZADOR VISUAL LENTE VERMELHA IMA MARCA RONDON MOD RT-KH,12 VOLTS||MATERIAL LEILOADO - PROCESSO 1600/2011|1258|1342|1967|0||3900|89.02|89,9200
1987-09-09|2012-04-20|2010-04-13|10003|9|CONDICIONADOR DE AR MARCA SPRINGER CARRIER 2 HP 21000 BTU||MATERIAL LEILOADO - PROCESSO 1600/2011|1140|919|2008|0||63000|1216.06|1228,3500
1987-11-20|2012-09-05|2010-04-13|10003|9|MAQUINA DE ESCREVER OLIVETTI MODELO LINEA 98/46||MATERIAL LEILOADO.LEILAO PUBLICO 01/2019|1256|920|2043|0|BAIXADO CONFORME PROCESSO 814/2012|17600|276.25|279,0500
1983-12-31|2000-10-06|1997-10-09|10003|9|CADEIRA PARA DESENHISTA GIRATORIA ESTOFADA EM CURVIM MARCA FERGO|||1290|921|1563|0|INSERVIVEL|27200|27.36|27,6400
1983-02-08|1999-11-22|2010-04-13|10003|9|CADEIRA FIXA ESTOFADA EM CURVIM MARCA ACOFLEX MODELO A-100||MATERIAL INSERVIVEL|1256|921|1549|0||5800|15.04|15,2000
1983-06-16|2001-10-25|2010-04-13|10003|9|CARROCERIA FORD 4000 DE MADEIRA C/3,97 MTS DE COMPRIMENTO||DOACAO A PMVR|1140|934|1584|0|ANTIGO CA 30 PMVR|289000|526.92|532,2500
1984-06-28|2001-05-25|2010-04-13|10003|9|TRANSCEPTOR MOVEL DE CHF/FM MOD TM 270/20 N 3632 A 3631||INSERVIVEL|1140|1342|1670|0||1227028|702.97|710,0800
1984-07-16|2004-11-22|2010-04-13|10003|9|TRANSMISSOR INDUTIVO P/TELEMEDIACOES E COMANDOS EQUIP E VAZAO INSTANTANEO DO TIPO F1-A COMPLETO||SOLICITACAO DE BAIXA POR INSERVIBILIDADE|1140|1342|1684|0|BEM PATRIMONIAL DESTRUIDO, CONFORME AUTORIZACAO DO DEX. PROCESSO Nº 1573/2007.|718895|373.59|377,3700
1996-08-27|2000-05-15|1997-10-09|10003|9|APARELHO TELEFONICO ANALOGICO|||1260|894|3876|10164|INSERVIVEL|35|35|0,0000
1999-12-30|2012-08-17|2004-04-13|10003|9|MEDIDOR DE CAMPO MOD. 810, PORTATIL, COM PROGRAMA DE AUTO CALIBRACAO,  MARCA - ORION.||MATERIAL LEILOADO - LEILAO PUBLICO 01/14|1260|893|4863|0||2787.2|2787.2|0,0000
1968-02-07|2001-05-21|2010-04-13|10003|9|CADEIRA FIXA ESTOFADA MARCA FERGO MODELO 5391||INSERVIVEL|1140|921|490|0|EM USO PELA SUPERVISAO DE ELETROMECANICA|55.33|17.11|17,2900
1968-02-06|2014-07-28|2010-04-13|10003|9|CADEIRA COM ARMACOES DE FERRO MARCA FERGO MODELO 5391||MATERIAL LEILOADO - LEILAO PUBLICO 01/14|1290|921|18|0||55.33|17.11|52,8700
1968-02-06|2014-07-28|2010-04-13|10003|9|CADEIRA FIXA ESTOFADA MARCA FERGO||MATERIAL LEILOADO - LEILAO PUBLICO 01/14|1291|921|25|0||55.33|17.11|8,2700
1968-02-06|2008-02-01|2010-04-13|10003|9|MESA DE ESCRITORIO COM 3 GAVETAS MARCA FERGO MOD 5133||MATERIAL LEILOADO - PROCESSO 1600/2011|1257|921|106|0||209.55|64.82|6,1200
1968-02-06|2014-07-28|2010-04-13|10003|9|MESA DE ESCRITORIO COM 3 GAVETAS MARCA FERGO MODELO 5133||MATERIAL LEILOADO - LEILAO PUBLICO 01/14|1140|921|113|0||209.55|64.82|2,7700
1968-06-02|2012-08-16|2010-04-13|10003|9|CADEIRA FIXA ESTOFADA MARCA FERGO MODELO 5391||MATERIAL LEILOADO - LEILAO PUBLICO 01/16|1256|921|32|0||84.55|25.98|26,2500
1968-07-22|2011-02-15|2010-04-13|10003|9|ARQUIVO DE ACO COM 4 GAVETAS COM CHAVES, COR CINZA. MARCA ADDO||MATERIAL LEILOADO - PROCESSO 1600/2011|1256|921|3|221618||297|91.3|92,2300
1968-07-22|2014-07-28|2010-04-13|10003|9|CADEIRA FIXA ESTOFADA EM CURVIM MARCA FERGO MODELO 5391||MATERIAL LEILOADO - LEILAO PUBLICO 01/14|1256|921|11|0||84.55|25.98|4,5000
1968-07-22|2014-07-28|2010-04-13|10003|9|CADEIRA FIXA ESTOFADA MARCA FERGO MODELO 5391||MATERIAL LEILOADO - LEILAO PUBLICO 01/14|1256|921|48|8723||53.7|16.5|16,6700
1968-07-22|2004-05-03|2010-04-13|10003|9|FICHARIO DE ACO DUPLO MARCA MARTE C/02 GAVETAS 38576-10 CORVERDE TAMANHO DE 4X6||MATERIAL INSERVIVEL|1256|922|147|0|BEM PATRIMONIAL DESTRUIDO, CONFORME AUTORIZACAO DO DEX. PROCESSO Nº 1573/2007.|27|8.29|8,6800
1968-07-22|2014-07-28|2010-04-13|10003|9|MESA DE ESCRITORIO COM 3 GAVETAS MARCA FERGO MODELO 5133 SERIE N 176593||MATERIAL LEILOADO - LEILAO PUBLICO 01/14|1291|921|111|0||205.6|63.21|2,7700
1968-07-22|2005-07-07|2010-04-13|10003|9|MESA DE ESCRITORIO DE MADEIRA COM 3 GAVETAS MARCA FERGO MODELO 5236||MATERIAL INSERVIVEL|1258|921|118|0|BEM PATRIMONIAL DESTRUIDO, CONFORME AUTORIZACAO DO DEX. PROCESSO Nº 1573/2007.|209.55|64.41|14,6600
1968-10-07|2007-11-28|2010-04-13|10003|9|MESA MODELO 5133 MARCA FERGO||MATERIAL INSERVIVEL|1256|921|308|0|BEM PATRIMONIAL DESTRUIDO, CONFORME AUTORIZACAO DO DEX. PROCESSO Nº 1573/2007.|298|79.73|80,5400
1968-02-06|1999-02-12|2010-04-13|10003|9|CADEIRA FIXA ESTOFADA EM CURVIM MARCA FERGO MOD.5391||MATERIAL INSERVIVEL|1291|921|51|0||55.33|17.11|51,2200
1968-02-06|2001-08-07|2010-04-13|10003|9|MESA DE ESCRITORIO COM 3 GAVETAS MARCA FERGO MOD 5133 SERIE 176654||MATERIAL INSERVIVEL|1140|921|114|0||209.55|64.82|4,1500
2000-09-14|2000-10-06|2004-04-13|10003|9|MIRA INVERTIDA M-434 P/DESENHO||INSERVIVEL|1290|893|328|110033|PATR.ADQUIR. 17.12.1968, OMITIDO HI TECH|110|110|0,0000
