OP;CGM;CNPJ;NOME;ELEMENTO;VALOR OP;VALOR RET;TIPO RET;DATA OP
561137;;;;;145809;2187.14;IRRF - GESTAO PLENA - SUS;
561137;;;;;145809;7290.45;ISS - GESTAO PLENA;
561138;;;;;69.12;69.12;HSJB - IRRF RETIDO EM N.F;
561139;;;;;10849.95;520.8;IRRF - GESTAO PLENA - SUS;
561140;;;;;;;;
561142;;;;;;;;
561150;;;;;;;;
561151;;;;;2194.63;32.92;IRRF - GESTAO PLENA - SUS;
561151;;;;;2194.63;109.73;ISS - GESTAO PLENA;
561154;;;;;;;;
561155;;;;;73346.37;1100.2;IRRF - GESTAO PLENA - SUS;
561155;;;;;73346.37;3667.32;ISS - GESTAO PLENA;
561158;;;;;5084.02;76.26;IRRF - GESTAO PLENA - SUS;
561158;;;;;5084.02;254.2;ISS - GESTAO PLENA;
561160;;;;;17106.21;256.59;IRRF - GESTAO PLENA - SUS;
561160;;;;;17106.21;855.31;ISS - GESTAO PLENA;
561161;;;;;;;;
561162;;;;;12428.88;186.43;IRRF - GESTAO PLENA - SUS;
561162;;;;;12428.88;621.44;ISS - GESTAO PLENA;
561165;;;;;;;;
561167;;;;;5.18;5.18;HSJB - IRRF RETIDO EM N.F;
561169;;;;;4366.27;65.49;IRRF - GESTAO PLENA - SUS;
561169;;;;;4366.27;218.31;ISS - GESTAO PLENA;
561171;;;;;11446.92;171.7;IRRF - GESTAO PLENA - SUS;
561171;;;;;11446.92;572.35;ISS - GESTAO PLENA;
561176;;;;;129.4;1.94;IRRF - GESTAO PLENA - SUS;
561176;;;;;129.4;6.47;ISS - GESTAO PLENA;
561178;;;;;5659.94;84.9;IRRF - GESTAO PLENA - SUS;
561178;;;;;5659.94;283;ISS - GESTAO PLENA;
561179;;;;;;;;
561182;;;;;2503.48;37.55;IRRF - GESTAO PLENA - SUS;
561182;;;;;2503.48;125.17;ISS - GESTAO PLENA;
561183;;;;;260.06;260.06;HSJB - IRRF RETIDO EM N.F;
561186;;;;;;;;
561187;;;;;;;;
561190;;;;;;;;
561191;;;;;22.44;22.44;HSJB - IRRF RETIDO EM N.F;
561192;;;;;;;;
561194;;;;;;;;
561195;;;;;17.25;17.25;HSJB - IRRF RETIDO EM N.F;
561196;;;;;;;;
561197;;;;;7.73;7.73;HSJB - IRRF RETIDO EM N.F;
561198;;;;;;;;
561199;;;;;8.23;8.23;HSJB - IRRF RETIDO EM N.F;
561202;;;;;3895;46.74;IRRF - FORNECIMENTO DE BENS;
561203;;;;;103525;1242.3;IRRF - FORNECIMENTO DE BENS;
561205;;;;;;;;
561208;;;;;96.3;96.3;HSJB - IRRF RETIDO EM N.F;
561211;;;;;;;;
561212;;;;;;;;
561213;;;;;25.65;25.65;HSJB - IRRF RETIDO EM N.F;
561215;;;;;;;;
561216;;;;;;;;
561217;;;;;9.76;9.76;HSJB - IRRF RETIDO EM N.F;
561218;;;;;93;93;HSJB - IRRF RETIDO EM N.F;
561220;;;;;3679.61;44.15;IRRF - FORNECIMENTO DE BENS;
561221;;;;;;;;
561223;;;;;15.96;15.96;HSJB - IRRF RETIDO EM N.F;
561224;;;;;;;;
561228;;;;;;;;
561229;;;;;;;;
561230;;;;;2.14;2.14;HSJB - IRRF RETIDO EM N.F;
561231;;;;;94811;4550.93;IRRF - GESTAO PLENA - SUS;
561232;;;;;;;;
561233;;;;;123.42;123.42;HSJB - IRRF RETIDO EM N.F;
561235;;;;;;;;
561236;;;;;715;78.65;INSS - FOLHA PAGTO;
561236;;;;;715;35.75;ISS - PMVR;
561237;;;;;;;;
561238;;;;;147.85;147.85;HSJB - IRRF RETIDO EM N.F;
561239;;;;;;;;
561240;;;;;7482;126.72;IRRF - GESTAO PLENA - SUS;
561240;;;;;7482;422.4;ISS - GESTAO PLENA;
561241;;;;;688;14.93;ISS - PMVR;
561242;;;;;16134.85;619.58;ISS - GESTAO PLENA;
561243;;;;;12075;181.13;IRRF - GESTAO PLENA - SUS;
561243;;;;;12075;241.5;ISS - GESTAO PLENA;
561244;;;;;7800;97.81;IRRF - GESTAO PLENA - SUS;
561244;;;;;7800;407.55;ISS - GESTAO PLENA;
561245;;;;;;;;
561246;;;;;;;;
561247;;;;;0.5;0.5;HSJB - IRRF RETIDO EM N.F;
561250;;;;;1727126.38;25906.9;IRRF - GESTAO PLENA - SUS;
561252;;;;;;;;
561255;;;;;;;;
561258;;;;;31.68;31.68;HSJB - IRRF RETIDO EM N.F;
561259;;;;;112;5.38;IRRF - PRESTADOR DE SERVIÇOS;
561260;;;;;;;;
561262;;;;;2886;34.63;IRRF - FORNECIMENTO DE BENS;
561267;;;;;;;;
561270;;;;;;;;
561272;;;;;;;;
561275;;;;;54598.95;1097.44;ISS - PMVR;
561278;;;;;;;;
561282;;;;;89611.31;2688.34;ISS - PMVR;
561282;;;;;89611.31;4301.34;IRRF - PRESTADOR DE SERVIÇOS;
561282;;;;;89611.31;1478.59;INSS PRESTADORES DE SERVIÇO PJ;
561283;;;;;;;;
561288;;;;;34.88;34.88;HSJB - IRRF RETIDO EM N.F;
561294;;;;;;;;
561295;;;;;7700;115.5;IRRF - GESTAO PLENA - SUS;
561295;;;;;7700;154;ISS - GESTAO PLENA;
561296;;;;;59551.63;1786.55;ISS - PMVR;
561296;;;;;59551.63;2858.48;IRRF - PRESTADOR DE SERVIÇOS;
561296;;;;;59551.63;982.6;INSS PRESTADORES DE SERVIÇO PJ;
561297;;;;;;;;
561298;;;;;2592.25;38.88;IRRF - GESTAO PLENA - SUS;
561298;;;;;2592.25;51.84;ISS - GESTAO PLENA;
561300;;;;;15.98;15.98;HSJB - IRRF RETIDO EM N.F;
561301;;;;;;;;
561304;;;;;;;;
561305;;;;;;;;
561306;;;;;;;;
561310;;;;;;;;
561313;;;;;82659.18;2479.78;ISS - PMVR;
561313;;;;;82659.18;3967.64;IRRF - PRESTADOR DE SERVIÇOS;
561313;;;;;82659.18;1363.88;INSS PRESTADORES DE SERVIÇO PJ;
561314;;;;;;;;
561316;;;;;758.16;758.16;HSJB - IRRF RETIDO EM N.F;
561318;;;;;;;;
561321;;;;;;;;
561323;;;;;480.09;7.2;IRRF - GESTAO PLENA - SUS;
561323;;;;;480.09;24;ISS - GESTAO PLENA;
561326;;;;;643.16;9.65;IRRF - GESTAO PLENA - SUS;
561326;;;;;643.16;32.16;ISS - GESTAO PLENA;
561328;;;;;1869.92;28.05;IRRF - GESTAO PLENA - SUS;
561328;;;;;1869.92;93.5;ISS - GESTAO PLENA;
561329;;;;;1847.09;27.71;IRRF - GESTAO PLENA - SUS;
561329;;;;;1847.09;92.35;ISS - GESTAO PLENA;
561330;;;;;10716.02;160.74;IRRF - GESTAO PLENA - SUS;
561330;;;;;10716.02;535.8;ISS - GESTAO PLENA;
561331;;;;;186284.36;3223.53;IRRF - GESTAO PLENA - SUS;
561331;;;;;186284.36;10745.09;ISS - GESTAO PLENA;
561332;;;;;28617.4;28617.4;RESTITUICAO EMPRÉSTIMO C/ O MINIST. DA S;
561339;;;;;998.99;47.95;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561340;;;;;77696.42;3884.82;ISS - PMVR;
561340;;;;;77696.42;932.35;IRRF - PRESTADOR DE SERVIÇOS;
561340;;;;;77696.42;2991.31;INSS PRESTADORES DE SERVIÇO PJ;
561341;;;;;;;;
561342;;;;;;;;
